surveyTargetID	surveyID	observedTaxon	observedTaxonID	organismQuantity	organismQuantityType
234642	BROKE_WEST_RMT_035_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_035_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_035_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_035_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_035_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_035_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_035_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_035_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_035_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_035_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
234777	BROKE_WEST_RMT_035_8_S	Prionodraco evansii	urn:lsid:marinespecies.org:taxname:234777	0	individual
234799	BROKE_WEST_RMT_035_8_S	Racovitzia glacialis	urn:lsid:marinespecies.org:taxname:234799	0	individual
234582	BROKE_WEST_RMT_035_8_S	Chionodraco	urn:lsid:marinespecies.org:taxname:234582	0	individual
234720	BROKE_WEST_RMT_035_8_S	Cryodraco antarcticus	urn:lsid:marinespecies.org:taxname:234720	0	individual
1621601	BROKE_WEST_RMT_035_8_S	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	0	individual
234721	BROKE_WEST_RMT_035_8_S	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	0	individual
234566	BROKE_WEST_RMT_035_8_S	Trematomus	urn:lsid:marinespecies.org:taxname:234566	0	individual
1	BROKE_WEST_RMT_035_8_S	Biota	urn:lsid:marinespecies.org:taxname:1	0	individual
217697	BROKE_WEST_RMT_036_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Larvae	BROKE_WEST_RMT_036_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Postmeta	BROKE_WEST_RMT_036_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
234642	BROKE_WEST_RMT_036_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_036_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_036_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_036_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_036_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_036_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_036_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_036_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_036_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_036_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
234777	BROKE_WEST_RMT_036_8_S	Prionodraco evansii	urn:lsid:marinespecies.org:taxname:234777	0	individual
234799	BROKE_WEST_RMT_036_8_S	Racovitzia glacialis	urn:lsid:marinespecies.org:taxname:234799	0	individual
234582	BROKE_WEST_RMT_036_8_S	Chionodraco	urn:lsid:marinespecies.org:taxname:234582	0	individual
234720	BROKE_WEST_RMT_036_8_S	Cryodraco antarcticus	urn:lsid:marinespecies.org:taxname:234720	0	individual
1621601	BROKE_WEST_RMT_036_8_S	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	0	individual
234721	BROKE_WEST_RMT_036_8_S	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	0	individual
234566	BROKE_WEST_RMT_036_8_S	Trematomus	urn:lsid:marinespecies.org:taxname:234566	0	individual
1	BROKE_WEST_RMT_036_8_S	Biota	urn:lsid:marinespecies.org:taxname:1	0	individual
217697	BROKE_WEST_RMT_040_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Larvae	BROKE_WEST_RMT_040_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Postmeta	BROKE_WEST_RMT_040_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
234642	BROKE_WEST_RMT_040_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_040_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_040_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_040_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_040_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_040_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_040_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_040_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_040_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_040_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
234777	BROKE_WEST_RMT_040_8_S	Prionodraco evansii	urn:lsid:marinespecies.org:taxname:234777	0	individual
234799	BROKE_WEST_RMT_040_8_S	Racovitzia glacialis	urn:lsid:marinespecies.org:taxname:234799	0	individual
234582	BROKE_WEST_RMT_040_8_S	Chionodraco	urn:lsid:marinespecies.org:taxname:234582	0	individual
234720	BROKE_WEST_RMT_040_8_S	Cryodraco antarcticus	urn:lsid:marinespecies.org:taxname:234720	0	individual
1621601	BROKE_WEST_RMT_040_8_S	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	0	individual
234721	BROKE_WEST_RMT_040_8_S	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	0	individual
234566	BROKE_WEST_RMT_040_8_S	Trematomus	urn:lsid:marinespecies.org:taxname:234566	0	individual
1	BROKE_WEST_RMT_040_8_S	Biota	urn:lsid:marinespecies.org:taxname:1	0	individual
217697	BROKE_WEST_RMT_041_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Larvae	BROKE_WEST_RMT_041_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Postmeta	BROKE_WEST_RMT_041_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
234642	BROKE_WEST_RMT_041_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_041_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_041_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_041_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_041_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_041_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_041_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_041_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_041_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_041_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
234777	BROKE_WEST_RMT_041_8_S	Prionodraco evansii	urn:lsid:marinespecies.org:taxname:234777	0	individual
234799	BROKE_WEST_RMT_041_8_S	Racovitzia glacialis	urn:lsid:marinespecies.org:taxname:234799	0	individual
234582	BROKE_WEST_RMT_041_8_S	Chionodraco	urn:lsid:marinespecies.org:taxname:234582	0	individual
234720	BROKE_WEST_RMT_041_8_S	Cryodraco antarcticus	urn:lsid:marinespecies.org:taxname:234720	0	individual
1621601	BROKE_WEST_RMT_041_8_S	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	0	individual
234721	BROKE_WEST_RMT_041_8_S	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	0	individual
234566	BROKE_WEST_RMT_041_8_S	Trematomus	urn:lsid:marinespecies.org:taxname:234566	0	individual
1	BROKE_WEST_RMT_041_8_S	Biota	urn:lsid:marinespecies.org:taxname:1	0	individual
217697	BROKE_WEST_RMT_045_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Larvae	BROKE_WEST_RMT_045_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Postmeta	BROKE_WEST_RMT_045_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
234642	BROKE_WEST_RMT_045_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_045_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_045_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_045_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_045_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_045_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_045_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_045_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_045_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_045_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
234777	BROKE_WEST_RMT_045_8_S	Prionodraco evansii	urn:lsid:marinespecies.org:taxname:234777	0	individual
234799	BROKE_WEST_RMT_045_8_S	Racovitzia glacialis	urn:lsid:marinespecies.org:taxname:234799	0	individual
234582	BROKE_WEST_RMT_045_8_S	Chionodraco	urn:lsid:marinespecies.org:taxname:234582	0	individual
234720	BROKE_WEST_RMT_045_8_S	Cryodraco antarcticus	urn:lsid:marinespecies.org:taxname:234720	0	individual
1621601	BROKE_WEST_RMT_045_8_S	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	0	individual
234721	BROKE_WEST_RMT_045_8_S	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	0	individual
234566	BROKE_WEST_RMT_045_8_S	Trematomus	urn:lsid:marinespecies.org:taxname:234566	0	individual
1	BROKE_WEST_RMT_045_8_S	Biota	urn:lsid:marinespecies.org:taxname:1	0	individual
217697	BROKE_WEST_RMT_046_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Larvae	BROKE_WEST_RMT_046_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Postmeta	BROKE_WEST_RMT_046_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
234642	BROKE_WEST_RMT_046_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_046_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_046_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_046_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_046_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_046_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_046_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_046_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_046_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_046_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
234777	BROKE_WEST_RMT_046_8_S	Prionodraco evansii	urn:lsid:marinespecies.org:taxname:234777	0	individual
234799	BROKE_WEST_RMT_046_8_S	Racovitzia glacialis	urn:lsid:marinespecies.org:taxname:234799	0	individual
234582	BROKE_WEST_RMT_046_8_S	Chionodraco	urn:lsid:marinespecies.org:taxname:234582	0	individual
234720	BROKE_WEST_RMT_046_8_S	Cryodraco antarcticus	urn:lsid:marinespecies.org:taxname:234720	0	individual
1621601	BROKE_WEST_RMT_046_8_S	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	0	individual
234721	BROKE_WEST_RMT_046_8_S	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	0	individual
234566	BROKE_WEST_RMT_046_8_S	Trematomus	urn:lsid:marinespecies.org:taxname:234566	0	individual
1	BROKE_WEST_RMT_046_8_S	Biota	urn:lsid:marinespecies.org:taxname:1	0	individual
217697	BROKE_WEST_RMT_047_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Larvae	BROKE_WEST_RMT_047_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Postmeta	BROKE_WEST_RMT_047_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
234642	BROKE_WEST_RMT_047_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_047_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_047_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_047_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_047_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_047_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_047_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_047_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_047_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_047_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
234777	BROKE_WEST_RMT_047_8_S	Prionodraco evansii	urn:lsid:marinespecies.org:taxname:234777	0	individual
234799	BROKE_WEST_RMT_047_8_S	Racovitzia glacialis	urn:lsid:marinespecies.org:taxname:234799	0	individual
234582	BROKE_WEST_RMT_047_8_S	Chionodraco	urn:lsid:marinespecies.org:taxname:234582	0	individual
234720	BROKE_WEST_RMT_047_8_S	Cryodraco antarcticus	urn:lsid:marinespecies.org:taxname:234720	0	individual
1621601	BROKE_WEST_RMT_047_8_S	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	0	individual
234721	BROKE_WEST_RMT_047_8_S	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	0	individual
234566	BROKE_WEST_RMT_047_8_S	Trematomus	urn:lsid:marinespecies.org:taxname:234566	0	individual
1	BROKE_WEST_RMT_047_8_S	Biota	urn:lsid:marinespecies.org:taxname:1	0	individual
217697	BROKE_WEST_RMT_048_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Larvae	BROKE_WEST_RMT_048_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Postmeta	BROKE_WEST_RMT_048_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
234642	BROKE_WEST_RMT_048_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_048_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_048_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_048_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_048_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_048_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_048_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_048_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_048_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_048_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
234777	BROKE_WEST_RMT_048_8_S	Prionodraco evansii	urn:lsid:marinespecies.org:taxname:234777	0	individual
234799	BROKE_WEST_RMT_048_8_S	Racovitzia glacialis	urn:lsid:marinespecies.org:taxname:234799	0	individual
234582	BROKE_WEST_RMT_048_8_S	Chionodraco	urn:lsid:marinespecies.org:taxname:234582	0	individual
234720	BROKE_WEST_RMT_048_8_S	Cryodraco antarcticus	urn:lsid:marinespecies.org:taxname:234720	0	individual
1621601	BROKE_WEST_RMT_048_8_S	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	0	individual
234721	BROKE_WEST_RMT_048_8_S	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	0	individual
234566	BROKE_WEST_RMT_048_8_S	Trematomus	urn:lsid:marinespecies.org:taxname:234566	0	individual
1	BROKE_WEST_RMT_048_8_S	Biota	urn:lsid:marinespecies.org:taxname:1	0	individual
217697	BROKE_WEST_RMT_049_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Larvae	BROKE_WEST_RMT_049_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Postmeta	BROKE_WEST_RMT_049_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
234642	BROKE_WEST_RMT_049_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_049_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_049_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_049_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_049_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_049_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_049_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_049_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_049_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_049_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
234777	BROKE_WEST_RMT_049_8_S	Prionodraco evansii	urn:lsid:marinespecies.org:taxname:234777	0	individual
234799	BROKE_WEST_RMT_049_8_S	Racovitzia glacialis	urn:lsid:marinespecies.org:taxname:234799	0	individual
234582	BROKE_WEST_RMT_049_8_S	Chionodraco	urn:lsid:marinespecies.org:taxname:234582	0	individual
234720	BROKE_WEST_RMT_049_8_S	Cryodraco antarcticus	urn:lsid:marinespecies.org:taxname:234720	0	individual
1621601	BROKE_WEST_RMT_049_8_S	Pagetopsis maculatus	urn:lsid:marinespecies.org:taxname:1621601	0	individual
234721	BROKE_WEST_RMT_049_8_S	Pleuragramma antarcticum	urn:lsid:marinespecies.org:taxname:234721	0	individual
234566	BROKE_WEST_RMT_049_8_S	Trematomus	urn:lsid:marinespecies.org:taxname:234566	0	individual
1	BROKE_WEST_RMT_049_8_S	Biota	urn:lsid:marinespecies.org:taxname:1	0	individual
217697	BROKE_WEST_RMT_056_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Larvae	BROKE_WEST_RMT_056_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
217697_Postmeta	BROKE_WEST_RMT_056_8_S	Electrona antarctica	urn:lsid:marinespecies.org:taxname:217697	0	individual
234642	BROKE_WEST_RMT_056_8_S	Gymnoscopelus braueri	urn:lsid:marinespecies.org:taxname:234642	0	individual
234714	BROKE_WEST_RMT_056_8_S	Protomyctophum bolini	urn:lsid:marinespecies.org:taxname:234714	0	individual
234695	BROKE_WEST_RMT_056_8_S	Notolepis coatsi	urn:lsid:marinespecies.org:taxname:234695	0	individual
125471	BROKE_WEST_RMT_056_8_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	0	individual
234621	BROKE_WEST_RMT_056_8_S	Artedidraco skottsbergi	urn:lsid:marinespecies.org:taxname:234621	0	individual
234730	BROKE_WEST_RMT_056_8_S	Pogonophryne marmorata	urn:lsid:marinespecies.org:taxname:234730	0	individual
234552	BROKE_WEST_RMT_056_8_S	Bathydraco	urn:lsid:marinespecies.org:taxname:234552	0	individual
234834	BROKE_WEST_RMT_056_8_S	Cygnodraco mawsoni	urn:lsid:marinespecies.org:taxname:234834	0	individual
234808	BROKE_WEST_RMT_056_8_S	Gerlachea australis	urn:lsid:marinespecies.org:taxname:234808	0	individual
234800	BROKE_WEST_RMT_056_8_S	Gymnodraco acuticeps	urn:lsid:marinespecies.org:taxname:234800	0	individual
